model,method,aicc,residual_mean,residual_sd,residual_acf1,ljung_box_pvalue
auto_selected,"ARIMA(2,1,2) with drift",16613.075810915878,0.00724105297345977,15.13252068392441,0.00495924859909419,0.0038964169170954133
arima_112,"ARIMA(1,1,2) with drift",16611.533512113085,4.0225131122513356e-4,15.134294561546819,1.532403533383807e-6,0.006478241992302292
arima_211,"ARIMA(2,1,1) with drift",16611.540579679597,4.059034403438692e-4,15.134321245939766,-3.332778365209464e-5,0.0064602594365918975
arima_111,"ARIMA(1,1,1) with drift",16609.543152318558,3.5704553085282324e-4,15.134368724898318,-1.7736942347095458e-5,0.01183227781067453
