model_class,sample,model,method,rmse,coverage80,coverage95,avg_width80,avg_width95,aicc
baseline,holdout,naive,Naive baseline,58.72724959812692,0.50199203187251,0.6613545816733067,47.00193312443767,71.8832535532897,NA
ets,holdout,ets_auto,"ETS(M,N,N)",58.7398103888221,0.6992031872509961,0.8665338645418327,78.87316761135895,120.62610044033732,25916.067502567108
ets,holdout,ses,Simple exponential smoothing,58.81144044885442,0.4940239043824701,0.6593625498007968,46.9838151049767,71.85554443368082,26189.54733261987
ets,holdout,holt,Holt's method,58.92448778511263,0.5039840637450199,0.6713147410358565,46.92320729383727,71.76285278536261,26191.314819563897
ets,holdout,damped_holt,Damped Holt's method,59.072794932850556,0.4940239043824701,0.6633466135458167,47.004493206036976,71.88716886022462,26195.760552419262
