model_class,sample,model,method,rmse,coverage80,coverage95,avg_width80,avg_width95,aicc
baseline,holdout,naive,Naive baseline,58.72724959812692,0.50199203187251,0.6613545816733067,47.00193312443767,71.8832535532897,NA
ets,holdout,ets_auto,"ETS(M,N,N)",58.7398103888221,0.6992031872509961,0.8665338645418327,78.87316761135895,120.62610044033732,25916.067502567108
ets,holdout,ses,Simple exponential smoothing,58.81144044885442,0.4940239043824701,0.6593625498007968,46.9838151049767,71.85554443368082,26189.54733261987
ets,holdout,holt,Holt's method,58.92448778511263,0.5039840637450199,0.6713147410358565,46.92320729383727,71.76285278536261,26191.314819563897
arima,holdout,arima_111,"ARIMA(1,1,1) with drift",58.969928858719065,0.50199203187251,0.6633466135458167,46.92276482522587,71.76217608801721,16609.543152318558
ets,holdout,damped_holt,Damped Holt's method,59.07279493285056,0.4940239043824701,0.6633466135458167,47.004493206036976,71.88716886022462,26195.760552419262
arima,holdout,arima_112,"ARIMA(1,1,2) with drift",59.32841080421321,0.5,0.6673306772908366,46.911684665707156,71.74523044635626,16611.533512113085
arima,holdout,auto_selected,"ARIMA(2,1,2) with drift",59.35122918791119,0.50199203187251,0.6613545816733067,46.89280607792124,71.71635813787157,16613.075810915878
arima,holdout,arima_211,"ARIMA(2,1,1) with drift",59.40202421847227,0.50199203187251,0.6673306772908366,46.91175886587046,71.74534392571316,16611.540579679597
